Stock,Date,Close
PLX,2025-04-14,34.85
POW,2025-04-14,11.75
PVT,2025-04-14,21.7
SHB,2025-04-14,12.15
STB,2025-04-14,37.8
SZC,2025-04-14,33.1
TCO,2025-04-14,11.4
TIP,2025-04-14,18.7
TTA,2025-04-14,10.15
TVT,2025-04-14,14.55
VMD,2025-04-14,16.65
VPB,2025-04-14,17.3
VTP,2025-04-14,111.7
ACB,2025-04-11,24.85
ADS,2025-04-11,7.42
AGR,2025-04-11,15.45
ANV,2025-04-11,14.15
BAF,2025-04-11,31.3
BID,2025-04-11,36.75
CII,2025-04-11,11.8
CKG,2025-04-11,15.1
CSM,2025-04-11,11.3
DPM,2025-04-11,31.8
DXG,2025-04-11,14.0
FPT,2025-04-11,118.5
GEX,2025-04-11,22.85
GVR,2025-04-11,26.0
HCM,2025-04-11,26.75
HHS,2025-04-11,10.4
HTL,2025-04-11,28.0
HVN,2025-04-11,29.25
IJC,2025-04-11,11.55
MBB,2025-04-11,23.45
NKG,2025-04-11,12.45
NTL,2025-04-11,14.05
OCB,2025-04-11,10.75
PDR,2025-04-11,17.0
PLX,2025-04-11,35.35
POW,2025-04-11,11.3
PVT,2025-04-11,20.3
SHB,2025-04-11,12.15
STB,2025-04-11,37.85
SZC,2025-04-11,32.9
TCO,2025-04-11,11.5
TIP,2025-04-11,18.5
TTA,2025-04-11,10.15
TVT,2025-04-11,14.45
VMD,2025-04-11,16.25
VPB,2025-04-11,17.45
VTP,2025-04-11,112.0
ACB,2025-04-10,23.3
ADS,2025-04-10,7.54
AGR,2025-04-10,14.6
ANV,2025-04-10,13.25
BAF,2025-04-10,30.1
BID,2025-04-10,34.7
CII,2025-04-10,11.2
CKG,2025-04-10,14.9
CSM,2025-04-10,11.05
DPM,2025-04-10,29.75
DXG,2025-04-10,13.15
FPT,2025-04-10,112.6
GEX,2025-04-10,21.85
GVR,2025-04-10,25.6
HCM,2025-04-10,25.35
HHS,2025-04-10,9.72
HTL,2025-04-10,28.0
HVN,2025-04-10,27.6
IJC,2025-04-10,11.25
MBB,2025-04-10,22.05
NKG,2025-04-10,12.25
NTL,2025-04-10,13.15
OCB,2025-04-10,10.25
PDR,2025-04-10,16.1
PLX,2025-04-10,33.1
POW,2025-04-10,10.6
PVT,2025-04-10,19.9
SHB,2025-04-10,11.7
STB,2025-04-10,35.4
SZC,2025-04-10,33.5
TCO,2025-04-10,10.95
TIP,2025-04-10,18.05
TTA,2025-04-10,10.0
TVT,2025-04-10,14.35
VMD,2025-04-10,17.2
VPB,2025-04-10,17.05
VTP,2025-04-10,107.7
ACB,2025-04-09,21.8
ADS,2025-04-09,7.05
AGR,2025-04-09,13.65
ANV,2025-04-09,12.4
BAF,2025-04-09,28.15
BID,2025-04-09,32.45
CII,2025-04-09,10.5
CKG,2025-04-09,13.95
CSM,2025-04-09,10.35
DPM,2025-04-09,27.85
DXG,2025-04-09,12.3
FPT,2025-04-09,105.3
GEX,2025-04-09,20.45
GVR,2025-04-09,23.95
HCM,2025-04-09,23.7
HHS,2025-04-09,9.09
HTL,2025-04-09,26.2
HVN,2025-04-09,25.8
IJC,2025-04-09,10.55
MBB,2025-04-09,20.65
NKG,2025-04-09,11.45
NTL,2025-04-09,12.3
OCB,2025-04-09,9.58
PDR,2025-04-09,15.05
PLX,2025-04-09,30.95
POW,2025-04-09,9.93
PVT,2025-04-09,18.6
SHB,2025-04-09,10.95
STB,2025-04-09,33.1
SZC,2025-04-09,31.35
TCO,2025-04-09,10.25
TIP,2025-04-09,16.9
TTA,2025-04-09,9.36
TVT,2025-04-09,13.45
VMD,2025-04-09,16.15
VPB,2025-04-09,15.95
VTP,2025-04-09,100.7
ACB,2025-04-08,22.15
ADS,2025-04-08,7.57
AGR,2025-04-08,14.65
ANV,2025-04-08,13.3
BAF,2025-04-08,27.95
BID,2025-04-08,33.5
CII,2025-04-08,11.25
CKG,2025-04-08,15.0
CSM,2025-04-08,11.1
DPM,2025-04-08,29.5
DXG,2025-04-08,13.2
FPT,2025-04-08,105.1
GEX,2025-04-08,21.95
GVR,2025-04-08,25.75
HCM,2025-04-08,25.45
HHS,2025-04-08,9.77
HTL,2025-04-08,25.5
HVN,2025-04-08,26.45
IJC,2025-04-08,11.3
MBB,2025-04-08,20.9
NKG,2025-04-08,12.3
NTL,2025-04-08,13.2
OCB,2025-04-08,9.54
PDR,2025-04-08,16.15
PLX,2025-04-08,33.25
POW,2025-04-08,10.65
PVT,2025-04-08,20.0
SHB,2025-04-08,11.25
STB,2025-04-08,34.8
